candidate,frequency,links
concrete construction,1,wikidata.org/wiki/Q96331700;wikidata.org/wiki/Q26839801;wikidata.org/wiki/Q1907757;wikidata.org/wiki/Q96324377;wikidata.org/wiki/Q96325091;wikidata.org/wiki/Q7301609;wikidata.org/wiki/Q50668214;wikidata.org/wiki/Q5560146;wikidata.org/wiki/Q51506612;wikidata.org/wiki/Q95971266
⁢ c,33,wikidata.org/wiki/Q15777;wikidata.org/wiki/Q2407;wikidata.org/wiki/Q154869;wikidata.org/wiki/Q623;wikidata.org/wiki/Q61;wikidata.org/wiki/Q2370;wikidata.org/wiki/Q91703;wikidata.org/wiki/Q1543;wikidata.org/wiki/Q11772;wikidata.org/wiki/Q214867;wikidata.org/wiki/Q15777;wikidata.org/wiki/Q2407;wikidata.org/wiki/Q154869;wikidata.org/wiki/Q623;wikidata.org/wiki/Q61;wikidata.org/wiki/Q2370;wikidata.org/wiki/Q91703;wikidata.org/wiki/Q1543;wikidata.org/wiki/Q11772;wikidata.org/wiki/Q214867
various other class,1,wikidata.org/wiki/Q11284284;wikidata.org/wiki/Q113388847;wikidata.org/wiki/Q113388845
other class,1,wikidata.org/wiki/Q16927421;wikidata.org/wiki/Q51431146;wikidata.org/wiki/Q95391728;wikidata.org/wiki/Q1298339;wikidata.org/wiki/Q33711169;wikidata.org/wiki/Q21522908;wikidata.org/wiki/Q16927423;wikidata.org/wiki/Q33989845;wikidata.org/wiki/Q116291238;wikidata.org/wiki/Q94012924
epimorphic functor,1,
certain category,3,wikidata.org/wiki/Q3375473;wikidata.org/wiki/Q38449384;wikidata.org/wiki/Q42340084;wikidata.org/wiki/Q42336960;wikidata.org/wiki/Q73870989;wikidata.org/wiki/Q74631492;wikidata.org/wiki/Q59452366;wikidata.org/wiki/Q42337263;wikidata.org/wiki/Q79610742;wikidata.org/wiki/Q70081888
Grothendieck topos,9,wikidata.org/wiki/Q106548123;wikidata.org/wiki/Q25098768;wikidata.org/wiki/Q56017980;wikidata.org/wiki/Q29041114
Grothendieck topos,5,
base topos,2,wikidata.org/wiki/Q27675378;wikidata.org/wiki/Q88313479;wikidata.org/wiki/Q107051816;wikidata.org/wiki/Q1026717;wikidata.org/wiki/Q2478475;wikidata.org/wiki/Q1321034;wikidata.org/wiki/Q101598931;wikidata.org/wiki/Q26780168;wikidata.org/wiki/Q15838827;wikidata.org/wiki/Q550806
distinct enrichment,1,wikidata.org/wiki/Q92454368;wikidata.org/wiki/Q898987;wikidata.org/wiki/Q22330342;wikidata.org/wiki/Q22302238;wikidata.org/wiki/Q40044872;wikidata.org/wiki/Q30778649;wikidata.org/wiki/Q39326999;wikidata.org/wiki/Q36121773;wikidata.org/wiki/Q60047838;wikidata.org/wiki/Q35351470
many monoidal structure,1,
monoidal structure,12,wikidata.org/wiki/Q98931512;wikidata.org/wiki/Q59612721;wikidata.org/wiki/Q58919727;wikidata.org/wiki/Q72421656;wikidata.org/wiki/Q115245668
unique isomorphism,1,wikidata.org/wiki/Q107710112;wikidata.org/wiki/Q629085;wikidata.org/wiki/Q114138481
finite product,13,wikidata.org/wiki/Q57788328;wikidata.org/wiki/Q59524259;wikidata.org/wiki/Q59524395;wikidata.org/wiki/Q33861339;wikidata.org/wiki/Q55709835;wikidata.org/wiki/Q5284938;wikidata.org/wiki/Q21083858;wikidata.org/wiki/Q22907085;wikidata.org/wiki/Q257414;wikidata.org/wiki/Q58690060
such distinction,1,wikidata.org/wiki/Q60535736;wikidata.org/wiki/Q222982;wikidata.org/wiki/Q7081635;wikidata.org/wiki/Q474485;wikidata.org/wiki/Q29043121;wikidata.org/wiki/Q29043120;wikidata.org/wiki/Q4193236;wikidata.org/wiki/Q12216016;wikidata.org/wiki/Q115888704;wikidata.org/wiki/Q4188006
algebra structure,5,wikidata.org/wiki/Q56613773;wikidata.org/wiki/Q674689;wikidata.org/wiki/Q4973304;wikidata.org/wiki/Q98623396;wikidata.org/wiki/Q3968;wikidata.org/wiki/Q99993188;wikidata.org/wiki/Q59061318;wikidata.org/wiki/Q159943;wikidata.org/wiki/Q54059376;wikidata.org/wiki/Q205464
precise mathematical definition,1,wikidata.org/wiki/Q114425676
mathematical definition,1,wikidata.org/wiki/Q114425676;wikidata.org/wiki/Q5353573;wikidata.org/wiki/Q99733632;wikidata.org/wiki/Q1147242;wikidata.org/wiki/Q56456018;wikidata.org/wiki/Q99457872;wikidata.org/wiki/Q76568463;wikidata.org/wiki/Q99446724;wikidata.org/wiki/Q73893777;wikidata.org/wiki/Q99446983
monad property,1,
restricted class,1,wikidata.org/wiki/Q7403770;wikidata.org/wiki/Q74439209;wikidata.org/wiki/Q99558591;wikidata.org/wiki/Q81007847;wikidata.org/wiki/Q36151198;wikidata.org/wiki/Q56902918;wikidata.org/wiki/Q62920085;wikidata.org/wiki/Q52404152;wikidata.org/wiki/Q40364670;wikidata.org/wiki/Q7316287
algebra morphism,2,wikidata.org/wiki/Q115381939;wikidata.org/wiki/Q115352896;wikidata.org/wiki/Q8068449;wikidata.org/wiki/Q719395;wikidata.org/wiki/Q17099701;wikidata.org/wiki/Q215111;wikidata.org/wiki/Q1674414;wikidata.org/wiki/Q7309604;wikidata.org/wiki/Q4724016;wikidata.org/wiki/Q7250176
lax morphism,4,wikidata.org/wiki/Q18345526
new characterization,3,wikidata.org/wiki/Q68790295;wikidata.org/wiki/Q59255749;wikidata.org/wiki/Q59288345;wikidata.org/wiki/Q59400794;wikidata.org/wiki/Q59255726;wikidata.org/wiki/Q59255704;wikidata.org/wiki/Q55869216;wikidata.org/wiki/Q59255730;wikidata.org/wiki/Q59112910;wikidata.org/wiki/Q56210389
idempotent dual,1,wikidata.org/wiki/Q83068706;wikidata.org/wiki/Q52004127
stable local coequalizer,1,
local coequalizer,1,
monad y,1,wikidata.org/wiki/Q110;wikidata.org/wiki/Q6897850
lax functor,7,wikidata.org/wiki/Q18345526
lax functor,5,wikidata.org/wiki/Q18345526
y factor,1,wikidata.org/wiki/Q1750812;wikidata.org/wiki/Q1475848;wikidata.org/wiki/Q1515895;wikidata.org/wiki/Q1540285;wikidata.org/wiki/Q1554076;wikidata.org/wiki/Q188419;wikidata.org/wiki/Q183976;wikidata.org/wiki/Q10660901;wikidata.org/wiki/Q178546;wikidata.org/wiki/Q133805
familiar bimodule,1,
bicategory rel,1,
general module,1,wikidata.org/wiki/Q98387378;wikidata.org/wiki/Q95359830;wikidata.org/wiki/Q15277552;wikidata.org/wiki/Q56682433;wikidata.org/wiki/Q31745716;wikidata.org/wiki/Q108763911;wikidata.org/wiki/Q30883412;wikidata.org/wiki/Q43305006;wikidata.org/wiki/Q30877019;wikidata.org/wiki/Q372881
unstructured endo-1,1,
full structure,2,wikidata.org/wiki/Q34301464;wikidata.org/wiki/Q33753867;wikidata.org/wiki/Q34232106;wikidata.org/wiki/Q899763;wikidata.org/wiki/Q78128146;wikidata.org/wiki/Q88014523;wikidata.org/wiki/Q35235203;wikidata.org/wiki/Q91287440;wikidata.org/wiki/Q84710572;wikidata.org/wiki/Q46567458
structure interpolad,1,
i - module,1,wikidata.org/wiki/Q57950515;wikidata.org/wiki/Q12069631;wikidata.org/wiki/Q38321545;wikidata.org/wiki/Q15184295;wikidata.org/wiki/Q7253814;wikidata.org/wiki/Q38334353;wikidata.org/wiki/Q73872570;wikidata.org/wiki/Q27941550;wikidata.org/wiki/Q59169;wikidata.org/wiki/Q28132212
i -,1,wikidata.org/wiki/Q1103;wikidata.org/wiki/Q517;wikidata.org/wiki/Q9893;wikidata.org/wiki/Q15553;wikidata.org/wiki/Q71084;wikidata.org/wiki/Q7207;wikidata.org/wiki/Q81506;wikidata.org/wiki/Q196527;wikidata.org/wiki/Q42887;wikidata.org/wiki/Q32500
bicategory y,1,wikidata.org/wiki/Q4903541
full sub -,1,wikidata.org/wiki/Q60607899;wikidata.org/wiki/Q106353292;wikidata.org/wiki/Q62470506;wikidata.org/wiki/Q115863045;wikidata.org/wiki/Q115800741;wikidata.org/wiki/Q110048767;wikidata.org/wiki/Q104483040;wikidata.org/wiki/Q104078990;wikidata.org/wiki/Q103825472;wikidata.org/wiki/Q75335071
full sub,1,wikidata.org/wiki/Q60607899;wikidata.org/wiki/Q106353292;wikidata.org/wiki/Q62470506;wikidata.org/wiki/Q115800741;wikidata.org/wiki/Q115863045;wikidata.org/wiki/Q110048767;wikidata.org/wiki/Q104483040;wikidata.org/wiki/Q104078990;wikidata.org/wiki/Q103825472;wikidata.org/wiki/Q75335071
sub - bicategory,2,
sub -,4,wikidata.org/wiki/Q132959;wikidata.org/wiki/Q778673;wikidata.org/wiki/Q174814;wikidata.org/wiki/Q10918728;wikidata.org/wiki/Q23442;wikidata.org/wiki/Q4282636;wikidata.org/wiki/Q270102;wikidata.org/wiki/Q61278455;wikidata.org/wiki/Q2467461;wikidata.org/wiki/Q617240
idempotent relation,1,
interpolative semi -,1,wikidata.org/wiki/Q62748389
interpolative semi,1,wikidata.org/wiki/Q62748389
semi - group,1,wikidata.org/wiki/Q59547346;wikidata.org/wiki/Q57424106;wikidata.org/wiki/Q56804583;wikidata.org/wiki/Q56804586;wikidata.org/wiki/Q60488452;wikidata.org/wiki/Q56804584;wikidata.org/wiki/Q56564737;wikidata.org/wiki/Q58279437;wikidata.org/wiki/Q60076427;wikidata.org/wiki/Q58247283
semi -,2,wikidata.org/wiki/Q3389302;wikidata.org/wiki/Q7419624;wikidata.org/wiki/Q198269;wikidata.org/wiki/Q4004659;wikidata.org/wiki/Q11474;wikidata.org/wiki/Q66095735;wikidata.org/wiki/Q66725417;wikidata.org/wiki/Q1041418;wikidata.org/wiki/Q49890;wikidata.org/wiki/Q15343
cell composition,1,wikidata.org/wiki/Q63580955;wikidata.org/wiki/Q69325736;wikidata.org/wiki/Q37764320;wikidata.org/wiki/Q68810358;wikidata.org/wiki/Q86702160;wikidata.org/wiki/Q69875739;wikidata.org/wiki/Q90025221;wikidata.org/wiki/Q68691696;wikidata.org/wiki/Q68737200;wikidata.org/wiki/Q37584583
n & gt,2,wikidata.org/wiki/Q627;wikidata.org/wiki/Q21199;wikidata.org/wiki/Q659;wikidata.org/wiki/Q9937;wikidata.org/wiki/Q2348;wikidata.org/wiki/Q12438;wikidata.org/wiki/Q1775461;wikidata.org/wiki/Q19803511;wikidata.org/wiki/Q7749;wikidata.org/wiki/Q161219
n &,3,wikidata.org/wiki/Q627;wikidata.org/wiki/Q21199;wikidata.org/wiki/Q659;wikidata.org/wiki/Q9937;wikidata.org/wiki/Q2348;wikidata.org/wiki/Q12438;wikidata.org/wiki/Q1775461;wikidata.org/wiki/Q19803511;wikidata.org/wiki/Q7749;wikidata.org/wiki/Q161219
