candidate,frequency,links
closed model,3,wikidata.org/wiki/Q5420362;wikidata.org/wiki/Q1941896;wikidata.org/wiki/Q70166875;wikidata.org/wiki/Q74509350;wikidata.org/wiki/Q75187953;wikidata.org/wiki/Q74316321;wikidata.org/wiki/Q99447461;wikidata.org/wiki/Q309070;wikidata.org/wiki/Q71292366;wikidata.org/wiki/Q6732091
model category,74,wikidata.org/wiki/Q1941896;wikidata.org/wiki/Q16928125;wikidata.org/wiki/Q486902;wikidata.org/wiki/Q905563;wikidata.org/wiki/Q176769;wikidata.org/wiki/Q728711;wikidata.org/wiki/Q900806;wikidata.org/wiki/Q392811;wikidata.org/wiki/Q6498959;wikidata.org/wiki/Q616374
commutative monoidal category,2,
monoidal category,41,wikidata.org/wiki/Q54410405;wikidata.org/wiki/Q56687285;wikidata.org/wiki/Q59884671;wikidata.org/wiki/Q56687303;wikidata.org/wiki/Q56687269;wikidata.org/wiki/Q56687274;wikidata.org/wiki/Q115193800;wikidata.org/wiki/Q1945014;wikidata.org/wiki/Q113200504;wikidata.org/wiki/Q113317479;wikidata.org/wiki/Q54410405;wikidata.org/wiki/Q56687285;wikidata.org/wiki/Q59884671;wikidata.org/wiki/Q56687303;wikidata.org/wiki/Q56687269;wikidata.org/wiki/Q56687274;wikidata.org/wiki/Q115193800;wikidata.org/wiki/Q1945014;wikidata.org/wiki/Q113200504;wikidata.org/wiki/Q113317479
main aim,1,wikidata.org/wiki/Q5412776;wikidata.org/wiki/Q72739527;wikidata.org/wiki/Q58072635;wikidata.org/wiki/Q17059560;wikidata.org/wiki/Q4986492;wikidata.org/wiki/Q18351283;wikidata.org/wiki/Q209538;wikidata.org/wiki/Q14864327;wikidata.org/wiki/Q1359224;wikidata.org/wiki/Q80402528
Quillen equivalence,4,
natural model category,2,wikidata.org/wiki/Q14448171;wikidata.org/wiki/Q1503197;wikidata.org/wiki/Q183493;wikidata.org/wiki/Q92588703;wikidata.org/wiki/Q3455898;wikidata.org/wiki/Q107409966;wikidata.org/wiki/Q15418681;wikidata.org/wiki/Q835748;wikidata.org/wiki/Q57176812;wikidata.org/wiki/Q9658264
natural model,2,wikidata.org/wiki/Q37505445;wikidata.org/wiki/Q37450619;wikidata.org/wiki/Q70379521;wikidata.org/wiki/Q37438249;wikidata.org/wiki/Q37535521;wikidata.org/wiki/Q54045902;wikidata.org/wiki/Q38025820;wikidata.org/wiki/Q15746122;wikidata.org/wiki/Q57704747;wikidata.org/wiki/Q70632374
right adjoint,17,wikidata.org/wiki/Q357858;wikidata.org/wiki/Q57861184
Nerve functor,1,
exact sequence,7,wikidata.org/wiki/Q381725;wikidata.org/wiki/Q4650007;wikidata.org/wiki/Q1326955;wikidata.org/wiki/Q33211299;wikidata.org/wiki/Q112881713;wikidata.org/wiki/Q1816943;wikidata.org/wiki/Q104549830;wikidata.org/wiki/Q15304597;wikidata.org/wiki/Q65122157;wikidata.org/wiki/Q5455808;wikidata.org/wiki/Q381725;wikidata.org/wiki/Q4650007;wikidata.org/wiki/Q1326955;wikidata.org/wiki/Q33211299;wikidata.org/wiki/Q112881713;wikidata.org/wiki/Q1816943;wikidata.org/wiki/Q104549830;wikidata.org/wiki/Q15304597;wikidata.org/wiki/Q65122157;wikidata.org/wiki/Q5455808
enchilada category,2,wikidata.org/wiki/Q876096;wikidata.org/wiki/Q18019960
product functor,2,wikidata.org/wiki/Q37268810;wikidata.org/wiki/Q56506171;wikidata.org/wiki/Q20809078;wikidata.org/wiki/Q4975963;wikidata.org/wiki/Q114572958;wikidata.org/wiki/Q114094164;wikidata.org/wiki/Q101119493;wikidata.org/wiki/Q115337417;wikidata.org/wiki/Q115356894;wikidata.org/wiki/Q115356273
enchilada category,2,wikidata.org/wiki/Q876096;wikidata.org/wiki/Q18019960
Connes conjecture,1,wikidata.org/wiki/Q2993305;wikidata.org/wiki/Q59345887;wikidata.org/wiki/Q59701765;wikidata.org/wiki/Q59701762;wikidata.org/wiki/Q111642106;wikidata.org/wiki/Q116116555;wikidata.org/wiki/Q113822954;wikidata.org/wiki/Q113691977;wikidata.org/wiki/Q56226488
