keyword,in_nlab
ind-object,True
indecomposable projective,False
indexed category,True
induced representation,True
inductive groupoid,False
inertia groupoid,False
infinite dimensional groupoid,False
infinite-category,False
infinity category,False
infinity operad,False
initial extension,False
initial maps and discrete opfibration,False
initial representable functor,False
initially dense object,False
injective,False
injective (projective) rc-module,False
injective hull,True
injective object,True
injective scale,False
injective subcategory problem,False
injectivity,False
injectivity class,False
inner anodyne morphism,False
inseparable-separable factorization,False
integration,False
intercategory,True
interchange law,False
interleaving,False
internal action,False
internal algebra,False
internal automorphism,False
internal boolean algebra,False
internal category,True
internal crossed module,True
internal fibration,False
internal group,False
internal groupoid,False
internal preorder,False
internal relation,True
internal sets and component,False
internally enriched hom,False
interpolation property,False
invariant vector field,False
inverse category,False
inverse semicategory,False
inverse semigroup,True
invertibility hypothesi,False
involutive category,False
involutive monoidal category,False
involutive quantale,False
involutive quantaloid,False
isbell adjunction,False
isomorphism theorem,False
isotropy,False
isotropy group,False
iterated integral,True
iterated monoidal category,True
iterative algebra,False
jet,False
join,True
join completion,False
joins of simplicial set,False
jointed oplax morphism,False
jointly epic pair,False
jointly epic split extension,False
joyal species,False
jónsson-tarski variety,False
k-z doctrine,False
kan adjunction,False
kan complex,True
kan extension,True
kan-injectivity,False
kan-injectivity logic,False
kantorovich-rubinstein distance,False
karoubi envelope,True
kleisli algebra,False
kleisli bicategory,False
kleisli category,True
kleisli cocompletion,False
kleisli extension,False
knot,True
kochen-specker theorem,True
koszul duality,True
kullback-leibler divergence,False
kuratowski-mrówka theorem,False
kz doctrine,False
kz-doctrine,False
kz-monad,False
l-algebra,False
l-ring,False
l_\infty-algebra,False
lagrangian relation,False
laplacian,False
lattice,True
lattice-ordered abelian group,False
lawvere metric space,False
lawvere theory,True
lawvere-tierney topology,True
lax $\lambda$-algebra,False
lax algebra,False
lax and colax functor,False
lax categorification,False
lax distributive law,False
lax epimorphism,False
lax functor,True
lax gray product,False
lax limit,False
lax monad,False
lax monad extension,False
lax monads and algebra,False
lax pullback complement,False
lax slouse,False
lax-idempotent monad,False
left cancellative small category,False
left determined model category,False
left exact functor,False
left exact kan extension,False
left-tensored category,False
leibniz algebra,True
leinster construction,False
length,True
lextensive category,False
lie 2-algebra,True
lie 2-group,True
lie algebra,True
lie algebra cohomology,True
lie groupoid,True
lifting,False
lifting theorem,False
limit,True
limit closure,False
limit doctrine,False
limit of coalgebra,False
limit preserving functor,False
limit sketch,False
limits and colimit,False
line object,True
linear algebra over polynomial ring,False
linear connection,False
linear decomposition,False
linear distributive category,False
linear equation,True
linear logic,True
linear track extension,False
linearly compact k-module,False
linearly compact vector space,False
linearly distributive,False
linearly distributive category,True
link,True
lipschitz extension,False
local operator,False
locale,True
localic group,True
localisation,False
localization,True
localization theory,False
locally algebraically cartesian closed,False
locally algebraically cartesian closed category,False
locally biclosed monoidal category,False
locally bounded category,True
locally cartesian closed category,True
locally cartesian-closed category,False
locally closed sublocale,False
locally closed subtopos,True
locally compact space,False
locally complete inductive groupoid,False
locally conected topos,False
locally d-presentable category,False
locally finitely presentable category,True
locally isomorphic,False
locally multipresentable category,False
locally noetherian,False
locally posetal 2-category,True
locally presentable,False
locally presentable category,True
locally quasi-compact space,False
locally ranked category,False
locally small,False
long cohomology sequence,False
loop space,True
low-dimensional topology,True
lower vietoris topology,False
lubin-tate spectrum,False
lukasiewicz logic,False
lusternik-schnirelmann category,False
m �set,False
m-continuous map,False
m-poset,False
m-set,False
m-topological space,False
mac lane cohomology,False
mackey functor,True
mackey space,False
mackey topology,False
macneille completion,True
magnitude,False
majority algebra,False
majority category,False
majority term,False
mal'cev,False
mal'cev and protomodular category,False
mal'cev and protomodular variety,False
mal'cev category,True
mal'cev condition,False
mal'cev object,False
mal'cev operation,False
mal'cev sequence,False
mal'cev variety,True
mal'cev variety of universal algebra,False
manifold calculus,True
mapping cone,True
marked category,False
markov proces,False
markov process,False
matrix algebra,True
maurer-cartan equation,True
maximal rigid subcategory,False
measurable cardinal,True
measures of information,False
medial rule,False
merge-bicategory,False
metastably locally compact,False
metric,False
metric space,True
metrisable,False
metrization theorem,True
microcosm principle,True
midpoint algebra,False
minimal operator,False
minor scale,False
modal logic,True
model,True
model category,True
model fibration,False
model structure,False
model structure duality,False
modular category,False
modular operad,True
modular tensor category,True
modulation,False
module,True
module category,True
moduli space,True
monad,True
monad morphism,False
monad of effective descent type,False
